full_name,verdict,timestamp_utc,note
fossology/fossology,accept,2026-07-24T17:43:42+00:00,
anchore/grant,accept,2026-07-24T17:43:42+00:00,
getprovenant/provenant,accept,2026-07-24T17:43:42+00:00,
Samsung/LPVS,accept,2026-07-24T17:43:42+00:00,
SecObserve/SecObserve,reject,2026-07-24T17:43:42+00:00,"Primarily a vulnerability-management dashboard that ingests and displays third-party scanner output; its license 'management' is thin reporting rather than actual license detection/collection or cross-source reconciliation, so it only has superficial overlap with RQ2/RQ3."
americanexpress/earlybird,accept,2026-07-24T17:43:42+00:00,
DataFog/datafog-python,accept,2026-07-24T17:43:42+00:00,
awslabs/ferret-scan,accept,2026-07-24T17:43:42+00:00,
kadir/cloakrs,accept,2026-07-24T17:43:42+00:00,
PovertyAction/PII_detection,accept,2026-07-24T17:43:42+00:00,
sam247/openredaction,accept,2026-07-24T17:43:42+00:00,
GoogleCloudPlatform/dlp-pdf-redaction,accept,2026-07-24T17:43:42+00:00,
karant-dev/AutoRedact,accept,2026-07-24T17:43:42+00:00,
itext/itext-pdfsweep-java,accept,2026-07-24T17:43:42+00:00,
taylorwilsdon/reddacted,reject,2026-07-24T17:43:42+00:00,Narrow personal-privacy utility for auditing and bulk-deleting your own Reddit comment history via the Reddit API; it is not a general dataset-curation tool for identifying or removing problematic data from training corpora.
microsoft/responsible-ai-toolbox-privacy,reject,2026-07-24T17:43:42+00:00,"It statistically estimates differential-privacy epsilon from the confusion matrix of a membership-inference attack; this is privacy-budget accounting/auditing, not identification/removal of problematic data, license handling, or eval-time contamination detection, so it does not fit any of RQ1-6."
IntelLabs/atlas-cli,accept,2026-07-24T17:43:42+00:00,
Leey21/data-lineage,accept,2026-07-24T17:43:42+00:00,
SeekingDream/DyCodeEval,accept,2026-07-24T17:43:42+00:00,
TracyWang95/DataInfra-RedactionEverything,accept,2026-07-24T17:43:42+00:00,
trusted-ai/adversarial-robustness-toolbox,accept,2026-07-28T06:52:16+00:00,
dssg/aequitas,accept,2026-07-28T06:52:16+00:00,
Trusted-AI/AIX360,accept,2026-07-28T06:52:16+00:00,
Trusted-AI/AIF360,accept,2026-07-28T06:52:16+00:00,
Japan-AISI/aisev,accept,2026-07-28T06:52:16+00:00,
PKU-Alignment/safe-rlhf,accept,2026-07-28T06:52:16+00:00,
GraySwanAI/circuit-breakers,accept,2026-07-28T06:52:16+00:00,
mlco2/codecarbon,accept,2026-07-28T06:52:16+00:00,
compl-ai/compl-ai,accept,2026-07-28T06:52:16+00:00,
AI-secure/DecodingTrust,accept,2026-07-28T06:52:16+00:00,
data-prep-kit/data-prep-kit,accept,2026-07-28T06:52:16+00:00,
evidentlyai/evidently,accept,2026-07-28T06:52:16+00:00,
fairlearn/fairlearn,accept,2026-07-28T06:52:16+00:00,
NVIDIA/garak,accept,2026-07-28T06:52:16+00:00,
guardrails-ai/guardrails,accept,2026-07-28T06:52:16+00:00,
inclusionAI/HeartBench,accept,2026-07-28T06:52:16+00:00,
UKGovernmentBEIS/inspect_ai,accept,2026-07-28T06:52:16+00:00,
PAIR-code/lit,accept,2026-07-28T06:52:16+00:00,
mlflow/mlflow,reject,2026-07-28T06:52:16+00:00,"MemAlign is a judge-alignment optimizer bundled inside MLflow, a very large general-purpose MLOps/AI-engineering platform, so it is not an independently distributable standalone tool, and the available README is for the whole platform and provides no evidence about MemAlign itself."
